REGION,OFFICE,USER_NAME,LAST_ACTIVE
Gauteng,Krugersdorp,PriscillaMo,2021/09/08 08:28:10
Gauteng,Krugersdorp,RorisangMo,2021/03/31 14:24:43
Gauteng,Kwa-Thema,SilindeloN,2022/12/09 13:57:30
Gauteng,Kwadukuza (Stanger),NokuphilaMa,2022/01/18 11:44:03
Gauteng,Leboeng,SelinahMo,2021/12/17 08:19:35
Gauteng,Lenasia,BerthaS,2022/12/06 15:50:06
Gauteng,Lenasia,LornaM,2022/12/07 08:29:02
Gauteng,Lenasia,MageziH,2021/06/01 12:06:55
Gauteng,Lenasia,SannahM,2022/12/05 15:44:55
Gauteng,Libode,LydiaM1,2022/03/04 10:33:51
Gauteng,Mafatsane,BrianRa,2022/11/08 07:51:57
Gauteng,Mafatsane,LechaenaM,2022/12/08 15:34:30
Gauteng,Mafatsane,MatebohoH,2022/11/18 08:38:40
Gauteng,Makwarela,NtshengedzeniN,2021/11/05 15:44:39
Gauteng,Mamelodi,DavidMbuvha,2022/12/07 09:58:29
Gauteng,Mamelodi,MirandaMo,2022/12/07 13:43:32
Gauteng,Manguza,Siphozw,2022/04/13 15:19:07
Gauteng,Mbazwane,MabuthoT,2022/09/13 09:39:58
Gauteng,Merafong / Fochville,SibasaL,2022/12/05 13:40:32
Gauteng,Meyerton,MatebohoHa,2022/12/09 15:55:38
Gauteng,Meyerton,Patricial,2022/12/12 09:14:21
Gauteng,Midrand,MaleratoM,2022/10/20 14:53:36
Gauteng,Midrand,PortiaMal,2022/12/08 09:51:13
Gauteng,Midrand,TshilidziN,2022/12/08 14:54:09
Gauteng,Mkobola,NancyM,2022/09/27 09:43:53
Gauteng,Mondlo,GcinokwakheAD,2022/06/30 12:26:24
Gauteng,Mooi River,SanelePM,2021/12/23 09:43:49
Gauteng,New Hanover,OwenM,2022/07/12 10:23:06
Gauteng,Orange Farm,AmukelaniM,2022/12/12 15:27:25
Gauteng,Orange Farm,AnitaT,2022/12/12 14:39:48
Gauteng,Orange Farm,BonganiP,2022/09/29 12:26:42
Gauteng,Orlando,BookerMa,2022/03/08 14:30:57
Gauteng,Orlando,JacobethN,2022/12/07 08:58:44
Gauteng,Orlando,MorolongM,2022/12/01 15:11:03
Gauteng,Orlando,ShimmyM,2022/12/05 12:27:53
Gauteng,Petrusville,AudreyLak,2021/11/16 11:45:38
Gauteng,Pinetown,NokulungaS,2021/12/09 08:46:57
Gauteng,Pretoria,ElwasM,2022/11/30 14:50:17
Gauteng,Pretoria,PankieS,2021/09/14 14:10:53
Gauteng,Pretoria,SheloniaL,2022/12/12 13:27:28
Gauteng,Pretoria,SimthandileS,2022/12/12 13:17:17
Gauteng,Queenstown,AsandaMak,2022/07/29 13:01:30
Gauteng,QwaQwa,LikeleliMa,2022/09/02 12:57:04
Gauteng,QwaQwa,NthabisengMat,2022/04/11 15:15:43
Gauteng,Randfontein,GomolemoM,2021/03/19 09:56:05
Gauteng,Randfontein,JongumziMa,2021/05/03 13:44:39
Gauteng,Randfontein,LindiweZwa,2022/12/08 13:07:08
Gauteng,Randfontein,MandlaMo,2021/02/11 11:20:47
Gauteng,Randfontein,MosimaMo,2021/03/30 14:37:59
Gauteng,Randfontein,OticiaM,2022/10/14 11:19:47
Gauteng,Randfontein,ShirleyS,2022/12/12 11:05:49
Gauteng,Ratanda,ThembisileTw,2022/12/12 13:32:30
Gauteng,Roodepan,GloriaMo,2021/11/10 15:37:48
Gauteng,Roodepoort,LindiweSe,2022/11/14 14:52:56
Gauteng,Roodepoort,MihlotiMT,2022/12/07 10:00:03
Gauteng,Roodepoort,NthabelengMd,2021/03/09 12:58:05
Gauteng,Roodepoort,ThabaniM,2022/12/10 15:34:38
Gauteng,Sebokeng,MaserameS,2022/12/12 12:30:41
Gauteng,Sebokeng,SelinaNt,2022/11/29 14:33:17
Gauteng,Sebokeng,SesieN,2022/12/09 12:58:50
Gauteng,Seshego,MasiloM,2022/02/22 12:54:51
Gauteng,Soshanguve,GraceMe,2022/08/31 15:21:29
Gauteng,Soshanguve,GraceMor,2022/12/12 09:13:14
Gauteng,Soshanguve,KwenaN,2021/12/29 13:42:18
Gauteng,Soshanguve,NokwandaMaq,2021/03/31 12:01:35
Gauteng,Soshanguve,NontobekoN,2022/12/12 14:19:38
Gauteng,Soshanguve,SophieMa,2022/01/19 15:20:53
Gauteng,Soshanguve,ThokozaniB,2021/11/15 15:46:49
Gauteng,Soshanguve,VictoriaMat,2022/11/22 15:46:41
Gauteng,Soshanguve,YolandaJ,2022/12/12 15:18:29
Gauteng,Soshanguve,jonathanmar,2022/10/25 15:46:34
Gauteng,Soweto,CarolineM,2021/08/27 10:14:48
Gauteng,Soweto,DuduP,2022/10/18 15:48:59
Gauteng,Soweto,KgetjaM,2022/12/12 14:29:56
Gauteng,Soweto,MatshidisoMa,2021/03/24 10:53:43
Gauteng,Soweto,NthabisengL,2022/12/07 08:19:58
Gauteng,Springbok Central Office,ChristinaMd,2022/02/24 09:50:27
Gauteng,Springs,LuciaD,2022/10/19 09:49:38
Gauteng,Springs,MatebohoS,2022/12/08 15:33:36
Gauteng,Springs,NdlelentleM,2022/07/29 12:06:03
Gauteng,Springs,PuseletsoNk,2021/07/02 15:35:30
Gauteng,Springs,ZaneleMaz,2022/12/12 09:09:22
Gauteng,Tembisa,LindiweR,2022/12/02 13:05:47
Gauteng,Tembisa,RebeccaM,2022/12/12 15:05:19
Gauteng,Themba ,CollinM,2022/03/22 13:36:29
Gauteng,Themba ,EzekielM,2021/10/25 12:15:13
Gauteng,Themba ,IsabelM,2022/12/12 15:57:42
Gauteng,Themba ,KatlegoHa,2022/12/12 12:53:30
Gauteng,Themba ,MavisMai,2021/09/10 12:40:06
Gauteng,Themba ,MeisieM,2022/03/30 15:49:58
Gauteng,Themba ,PercyR,2021/12/14 14:57:26
Gauteng,Themba ,PrinceNt,2021/09/10 11:54:55
Gauteng,Thokoza,BonganeDla,2022/10/26 10:43:50
Gauteng,Thokoza,VictoriaK,2022/12/12 10:22:02
Gauteng,Thulamahashe,SharlotK,2022/09/27 15:09:05
Gauteng,Tonga,ElijahN,2022/04/29 08:20:28
Gauteng,Tsakane,DanisileT,2022/12/06 14:33:30
Gauteng,Tsakane,ThembinkosiP,2022/11/22 10:45:59
Gauteng,Umbumbulu,SicebiN,2022/06/03 09:47:02
Gauteng,Umlazi,SibusisoNx,2022/08/05 14:08:52
Gauteng,Vereeniging,BerniceN,2022/12/12 11:55:31
Gauteng,Vereeniging,DimakatsoG,2022/12/01 10:30:22
Gauteng,Vereeniging,MathaboMo,2022/07/01 10:54:24
Gauteng,Vereeniging,MotshidisiMo,2022/11/30 11:04:32
Gauteng,Vereeniging,NozikaR,2022/11/23 09:42:50
Gauteng,Vereeniging,PatienceT,2022/12/09 14:33:49
Gauteng,Vosloorus,InnocentiaMo,2021/10/01 15:19:24
Gauteng,Vosloorus,KentseMa,2022/07/13 12:10:32
Gauteng,Vosloorus,MduduziMthombeni,2022/01/31 10:23:17
Gauteng,Vosloorus,NomvulaSi,2021/07/29 11:42:05
Gauteng,Vosloorus,PreciousNko,2021/12/01 13:29:13
Gauteng,Vosloorus,PreciousSi,2022/12/12 15:26:07
Gauteng,Vosloorus,SihleD,2022/12/12 13:46:39
Gauteng,WC_Region,AMboyaneA,2023/04/28 07:20:05
Gauteng,Welkom,RufusM,2022/06/03 13:49:12
Gauteng,Zastron local office,NomathembaM,2022/08/29 11:34:18
